position baseline_total baseline_best total the_best top_95 top_90 top_80
187 0.5191247060999998 0.0 1.0340879353999999 0.0 0.0 0.019501200000000007 0.9804985999999997
188 0.5193440324999998 0.0 1.0342890236999998 0.0 0.0 0.0201227 0.9798771000000002
189 0.5190683601 0.0 1.0344886765000003 0.0 0.0 0.020772799999999994 0.9792269999999996
190 0.5194605817999999 0.0 1.0346886578 0.0 0.0 0.0214475 0.9785524999999999
191 0.5195244071999999 0.0 1.0348880006 0.0 0.0 0.022145099999999997 0.9778548999999999
192 0.5195337604000001 0.0 1.0350871132000001 0.0 0.0 0.022846800000000007 0.9771532000000002
193 0.5197138097 0.0 1.0352873511999996 0.0 0.0 0.023561299999999993 0.9764387000000005
194 0.5199356570000002 0.0 1.0354872069 0.0 0.0 0.02430420000000001 0.9756958
195 0.5197569797999999 0.0 1.0356866872000006 0.0 0.0 0.02508930000000001 0.9749107000000002
196 0.5200287469 0.0 1.0358860278999993 0.0 0.0 0.0258807 0.9741192999999998
197 0.5202452913999999 0.0 1.0360859974999996 0.0 0.0 0.02669600000000002 0.9733040000000003
198 0.520303095 0.0 1.0362874702 0.0 0.0 0.0275177 0.9724823
199 0.5202109794000002 0.0 1.0364866023 0.0 0.0 0.028379899999999993 0.9716200999999998
200 0.5204824765999999 0.0 1.0366864511999998 0.0 0.0 0.029274899999999996 0.9707250999999996
201 0.5206361796000001 0.0 1.0368869047000002 0.0 0.0 0.03018290000000001 0.9698170999999997
202 0.5206552888000001 0.0 1.0370885073999996 0.0 0.0 0.031113799999999997 0.9688862
203 0.5206661387999998 0.0 1.0372884632999997 0.0 0.0 0.032027999999999994 0.967972
204 0.5208392834000001 0.0 1.037488816 0.0 0.0 0.03301099999999999 0.9669890000000001
205 0.5208823229 0.0 1.0376880665 0.0 0.0 0.03401530000000001 0.9659847000000004
206 0.5210410467999999 0.0 1.0378878846000001 0.0 0.0 0.0350523 0.9649476999999996
207 0.5211411832999999 0.0 1.0380887101999996 0.0 0.0 0.0361135 0.9638864999999996
208 0.5211980556 0.0 1.0382890839 0.0 0.0 0.03716269999999999 0.9628372999999999
209 0.5214284224000001 0.0 1.0384892329999997 0.0 0.0 0.038271199999999984 0.9617288
210 0.5214505534000001 0.0 1.0386891296999998 0.0 0.0 0.039431700000000014 0.9605683000000002
211 0.5215826793000002 0.0 1.0388891728999998 0.0 0.0 0.0406019 0.9593981000000004
212 0.5214580448999999 0.0 1.0390886190000002 0.0 0.0 0.0417736 0.9582263999999996
213 0.5218172142999999 0.0 1.0392894798999994 0.0 0.0 0.04295910000000001 0.9570409000000002
214 0.5217778256999999 0.0 1.0394895375000002 0.0 0.0 0.044196999999999986 0.9558029999999996
215 0.5219716149000003 0.0 1.0396885966000002 0.0 0.0 0.04549399999999999 0.9545060000000006
216 0.5220999423999999 0.0 1.0398893314999997 0.0 0.0 0.04681980000000002 0.9531802
217 0.5222747062999998 0.0 1.0400896925000005 0.0 0.0 0.0481535 0.9518465
218 0.5223883604000001 0.0 1.0402897877000001 0.0 0.0 0.0495119 0.9504881000000001
219 0.5224700114 0.0 1.0404907693 0.0 0.0 0.0509228 0.9490771999999995
220 0.5224350975000001 0.0 1.0406903903999998 0.0 0.0 0.05236649999999999 0.9476335000000001
221 0.5225511687000001 0.0 1.0408897010999996 0.0 1.0000000000000001e-07 0.053865400000000035 0.9461345
222 0.5225065160999999 0.0 1.0410889825 0.0 2.0000000000000002e-07 0.055354499999999994 0.9446452999999998
223 0.5228371298 0.0 1.0412886017999996 0.0 2.0000000000000002e-07 0.0568691 0.9431307000000001
224 0.5228591098 0.0 1.0414902011 0.0 2.0000000000000002e-07 0.05845259999999999 0.9415472
225 0.5229276932 0.0 1.0416908372000002 0.0 2.0000000000000002e-07 0.060054300000000005 0.9399455
226 0.5229647715000002 0.0 1.0418899543 0.0 2.0000000000000002e-07 0.06170629999999997 0.9382935
227 0.5232700988999999 0.0 1.0420902006 0.0 2.0000000000000002e-07 0.06337670000000001 0.9366230999999995
228 0.5229958672999999 0.0 1.0422894272999996 0.0 2.0000000000000002e-07 0.06502850000000004 0.9349712999999998
