position baseline_total baseline_best total the_best top_95 top_90 top_80
53 0.5004596605 0.0010099000000000004 0.9651592456000002 0.15602840000000004 0.7788535000000004 0.011758400000000002 0.00035860000000000004
54 0.5005538085 0.0009970000000000003 0.9648297313000002 0.15793419999999997 0.7767598999999997 0.010993999999999997 0.00031380000000000004
55 0.5005877749000001 0.0009986 0.9644900939000006 0.1598457 0.7745991000000001 0.010283699999999998 0.000275
56 0.5005416661 0.0010233000000000004 0.9641388680999999 0.1617173 0.7723927000000002 0.009627000000000002 0.00024329999999999998
57 0.5005168071999997 0.0009885999999999999 0.9637939770000001 0.16359359999999998 0.7701667999999999 0.0090178 0.00021349999999999993
58 0.5005305047000002 0.0009994999999999997 0.9634390589999998 0.16547320000000001 0.7678920000000002 0.008438199999999998 0.0001888
59 0.5004772747 0.0009888000000000002 0.9630822637000006 0.16732129999999995 0.7656312999999999 0.007883000000000003 0.00016779999999999999
60 0.5006316596000002 0.0010035999999999997 0.9627153540999994 0.1691536 0.7633342999999998 0.0073623 0.00014960000000000003
61 0.5003416117000001 0.0010117 0.9623391698 0.17093159999999993 0.7610483000000001 0.006875999999999998 0.00013220000000000007
62 0.5003820409 0.0010073999999999997 0.9619644267000003 0.172697 0.7587351000000006 0.006432299999999999 0.00011630000000000004
63 0.5005184516 0.0009949000000000002 0.9615961997 0.17447529999999986 0.7563907000000002 0.006015000000000004 0.00010479999999999996
64 0.5004950593999999 0.0009906999999999997 0.9612205426000001 0.1762359 0.7540337000000003 0.005633599999999999 9.19e-05
65 0.5006429313999999 0.0009959 0.9608380377 0.17799170000000003 0.7516534999999996 0.005273299999999998 8.07e-05
66 0.5004816101999998 0.000999 0.9604519700999999 0.17973739999999994 0.7492538999999999 0.004939500000000001 6.940000000000003e-05
67 0.5005345802 0.0010022 0.9600607027000003 0.18142140000000004 0.7469066999999998 0.004608099999999999 6.180000000000004e-05
68 0.5004281076999999 0.0010001000000000003 0.9596672498 0.18313069999999995 0.7444973999999999 0.0043164000000000015 5.340000000000002e-05
69 0.5005457586000002 0.0009778 0.9592769237999995 0.1848260999999999 0.7421205999999999 0.004027 4.6400000000000044e-05
70 0.5003511879 0.0009925 0.9588853135 0.18648189999999992 0.7397346 0.0037703999999999997 4.070000000000005e-05
71 0.5004492452000001 0.0009899000000000002 0.9584886826999999 0.18815820000000005 0.7373213 0.0035223 3.590000000000005e-05
72 0.5003478664000001 0.0010086000000000003 0.9580767542000004 0.18977860000000002 0.7349288999999998 0.0032894 3.2200000000000044e-05
73 0.5003492548 0.0009937 0.9576703218999999 0.1914123 0.7325218 0.0030726999999999994 2.860000000000004e-05
74 0.5005005194999999 0.0009997 0.9572594807000004 0.19300449999999997 0.7301284 0.0028770999999999996 2.5700000000000032e-05
75 0.5005384797999999 0.0009811999999999998 0.9568518346 0.19461850000000003 0.7277235000000002 0.002690299999999999 2.2200000000000028e-05
